code,name,date,close,cdf,y,y_pred,y_pred_prob,scale
513060,博时恒生医疗保健(QDII-ETF)行情,2023-04-20,0.572,0.3173841337108875,,1,0.9049434194697249,69.51
516160,南方中证新能源ETF行情,2023-04-20,0.924,0.0423151054445306,,1,0.946610086188121,28.19
159883,永赢中证全指医疗器械ETF行情,2023-04-20,0.655,0.22611722769966314,,1,0.9441144194244752,22.83
159766,富国中证旅游主题ETF行情,2023-04-20,1.077,0.41399035900709336,,1,0.982087648880548,19.41
159825,富国中证农业主题ETF行情,2023-04-20,0.838,0.036698010087114895,,1,0.9425163737086477,19.23
159806,国泰中证新能源汽车ETF行情,2023-04-20,2.055,0.060463104926892434,,1,0.9154259632030112,15.58
515950,富国中证医药50ETF行情,2023-04-20,1.252,0.36402708261077743,,1,0.9450470843626853,7.25
562510,华夏中证旅游主题ETF行情,2023-04-20,1.085,0.4294315801134193,,1,0.9449182197034879,5.54
159824,博时新能源汽车ETF行情,2023-04-20,1.027,0.056618323454443925,,1,0.9322686270784099,2.62
159752,申万菱信中证内地新能源主题ETF行情,2023-04-20,0.72,0.058418543725979356,,1,0.9861723730206369,2.24
159822,银华工银南方东英标普中国新经济ETF(QDII)行情,2023-04-20,0.646,0.4488998548785807,,1,0.9119242987212138,2.07
159898,招商中证全指医疗器械ETF行情,2023-04-20,0.668,0.3001717580484657,,1,0.9070804950946914,1.7
516270,华安中证内地新能源主题ETF行情,2023-04-20,0.705,0.05724173397023168,,1,0.9610781664113432,1.69
159608,广发中证稀有金属主题ETF行情,2023-04-20,0.743,0.11542513975564822,,1,0.9621018523638043,1.59
159838,博时医药50ETF行情,2023-04-20,0.713,0.3429100765825621,,1,0.9245689272315696,1.45
516710,华夏中证新材料主题ETF行情,2023-04-20,0.695,0.10932565206276484,,1,0.9449661281308369,1.12
159763,建信中证新材料主题ETF行情,2023-04-20,0.682,0.0992215862557781,,1,0.9174521172724779,0.9
516850,华夏中证新能源ETF行情,2023-04-20,1.102,0.04518567606555783,,1,0.9154930875358083,0.73
159718,平安中证港股通医药卫生综合ETF行情,2023-04-20,0.859,0.40363783088174005,,1,0.9608223345149176,0.67
159789,建信中证饮料主题ETF行情,2023-04-20,0.848,0.3458591863669933,,1,0.9375809417521505,0.62
159703,天弘中证新材料主题ETF行情,2023-04-20,0.859,0.10651136574024161,,1,0.929316888260118,0.54
516480,国联安中证新材料主题ETF行情,2023-04-20,0.842,0.12509072166946617,,1,0.9256859159199015,0.18
