code,name,date,scale,profit,pattern,success_rate,success_cnt,fund_cnt
510300,华泰柏瑞沪深300ETF行情,2023-06-08,670.98,0.002612330198537237,10001101**,0.8571428571428571,12,14
159915,易方达创业板ETF行情,2023-06-08,336.25,0.0009657170449057362,00001101**,0.8333333333333334,10,12
510330,华夏沪深300ETF行情,2023-06-08,246.84,0.0026109660574411197,10001101**,0.8461538461538461,11,13
510310,易方达沪深300发起式ETF行情,2023-06-08,173.62,0.003289473684210651,10001101**,0.875,14,16
560050,汇添富MSCI中国A50互联互通ETF行情,2023-06-08,72.0,0.003989361702127663,10001*****,0.9230769230769231,12,13
563000,易方达MSCI中国A50互联互通ETF行情,2023-06-08,58.6,0.005319148936169922,10001*****,0.8666666666666667,13,15
159633,易方达中证1000ETF行情,2023-06-08,50.27,0.0036101083032491,01001*****,0.9166666666666666,11,12
515380,泰康沪深300ETF行情,2023-06-08,37.38,0.002945508100147605,100011****,0.8333333333333334,10,12
562990,易方达中证上海环交所碳中和ETF行情,2023-06-08,20.76,0.0026109660574411106,10001*****,0.8333333333333334,10,12
159602,南方MSCI中国A50互联互通ETF行情,2023-06-08,16.15,0.003984063745019924,10001*****,0.9333333333333333,14,15
